name,Gender,Species,Loyalty
Fawcett,Female,Human,Fawcett family
Sir Luckless,Male,Human,Amata
Sinistra Lowe,Female,Human,Pure-blood supremacy
Lavender Brown,Female,Human,Brown family
George Weasley,Male,Human,Circle of Khanna
Justin Finch-Fletchley,Male,Human,Finch-Fletchley family
Peeves,Male,Poltergeist,Hogwarts School of Witchcraft and Wizardry
Arabella Figg,Female,Human,Albus Dumbledore
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Rufus Fudge,Male,Human,British Ministry of Magic
Frank Longbottom,Male,Human,Longbottom family
Harry Potter,Male,Human,Potter family
Arnold,Male,Pygmy Puff,Ginevra Weasley
Cadogan,Male,Human,Arthur
Otto Bagman,Male,Human,Bagman family
Avery I,Male,Human,Avery family
Padma Patil,Female,Human,Patil family
Rosmerta,Female,Human,Three Broomsticks Inn
Frank,Male,Thunderbird,Newton Scamander
Petunia Dursley,Female,Human,Evans family
Sybill Trelawney,Female,Human,Hogwarts School of Witchcraft and Wizardry
Rita Skeeter,Female,Human,Daily Prophet
Lucius Malfoy,Male,Human,Malfoy family
Lee Jordan,Male,Human,Jordan family
Moran,Female,Human,Irish National Quidditch team
Aberforth Dumbledore,Male,Human,Hog's Head Inn
Viktor Krum,Male,Human,Durmstrang Institute
Josef Wronski,Male,Human,Grodzisk Goblins
Dean Thomas,Male,Human,Thomas family
Dudley,Male,Human,British Ministry of Magic
Fridwulfa,Female,Giant,Hagrid family
Amos Diggory,Male,Human,British Ministry of Magic
Miranda Goshawk,Female,Human,Goshawk family
Colin Creevey,Male,Human,Creevey family
Cornelius Fudge,Male,Human,Order of Merlin
Perkins,Male,Human,British Ministry of Magic
Stewart Ackerley,Male,Human,Hogwarts School of Witchcraft and Wizardry
Lily L. Potter,Female,Human,Potter family
Pyotr Vulchanov,Male,Human,Bulgarian National Quidditch team
Heather,Female,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Wilhelmina Grubbly-Plank,Female,Human,Hogwarts School of Witchcraft and Wizardry
Fleur Delacour,Female,Half-Veela,Delacour family
Igor Karkaroff,Male,Human,Death Eaters
Hannah Abbott,Female,Human,Abbott family
Cho Chang,Female,Human,Chang family
Caspar Crouch,Male,Human,Crouch family
Dobby,Male,House-elf,Malfoy family
Antonin Dolohov,Male,Human,Death Eaters
Montgomery,Male,Human,Montgomery family
Gerbold Ollivander,Male,Human,Ollivander family
Ronald Weasley,Male,Human,Weasley family
Olive Hornby,Female,Human,Hogwarts School of Witchcraft and Wizardry
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Heady,Male,Shrunken head,Knockturn Alley
Hermione Granger,Female,Human,Granger family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Bloody Baron,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ernest Macmillan,Male,Human,Macmillan family
Pigwidgeon,Male,Scops owl,Ronald Weasley
Mullet,Female,Human,Irish National Quidditch team
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Fat Lady,Female,Human,Hogwarts School of Witchcraft and Wizardry
Gryffindor Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ginevra Weasley,Female,Human,Weasley family
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Pomona Sprout,Female,Human,Hogwarts School of Witchcraft and Wizardry
Ronan,Male,Centaur,Forbidden Forest Centaur colony
Remus Lupin,Male,Werewolf,Lupin family
Parvati Patil,Female,Human,Patil family
Bertha Jorkins,Female,Human,British Ministry of Magic
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Tiberius,Male,Human,Slug Club
Vernon Dursley,Male,Human,Dursley family
Bozo,Male,Human,Daily Prophet
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Myron Wagtail,Male,Human,Weird Sisters
Mundungus Fletcher,Male,Human,Order of the Phoenix
Crabbe,Male,Human,Crabbe family
Gilderoy Lockhart,Male,Human,Lockhart family
Eloise Midgen,Female,Human,Hogwarts School of Witchcraft and Wizardry
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Troy,Male,Human,Irish National Quidditch team
Winky,Female,House-elf,Crouch family
Davies,Male,Human,Hogwarts School of Witchcraft and Wizardry
Marsh,Female,Human,Knight Bus
Molly Weasley,Female,Human,Weasley family
Severus Snape,Male,Human,Snape family
Roberts,Male,Human,Roberts family
Alastor Moody,Male,Human,Order of the Phoenix
Barnabas the Barmy,Male,Human,Troll
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Minerva McGonagall,Female,Human,McGonagall family
Albus Dumbledore,Male,Human,Order of Merlin
Arthur,Male,Human,Court of King Arthur
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Fawkes,Male,Phoenix,Albus Dumbledore
Ali Bashir,Male,Human,Flying carpet
Irma Pince,Female,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Angelina Johnson,Female,Human,Johnson family
Buckbeak,Male,Hippogriff,Order of the Phoenix
Ivan Popa,Male,Human,Romanian National Quidditch team
Peter,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ivan Volkov,Male,Human,Bulgarian National Quidditch team
Katie Bell,Female,Human,Bell family
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Augustus Rookwood,Male,Human,Death Eaters
Stanley Shunpike,Male,Human,Knight Bus
Neville Longbottom,Male,Human,Longbottom family
Ludovic Bagman,Male,Human,Wimbourne Wasps
Vasily Dimitrov,Male,Human,Bulgarian National Quidditch team
Crookshanks,Male,Kneazle,Magical Menagerie
William Weasley,Male,Human,Weasley family
Tom Riddle,Male,Human,Death Eaters
Bartemius Crouch Senior,Male,Human,British Ministry of Magic
Goyle,Male,Human,Goyle family
Nagini,Female,Human,Circus Arcanus
Armando Dippet,Male,Human,Hogwarts School of Witchcraft and Wizardry
Fang,Male,Boarhound,Rubeus Hagrid
Quigley,Male,Human,Irish National Quidditch team
Aidan Lynch,Male,Human,Irish National Quidditch team
Percy Weasley,Male,Human,Weasley family
Errol,Male,Great grey owl,Weasley family
Olympe Maxime,Female,Human,Beauxbatons Academy of Magic
Hassan Mostafa,Male,Human,Egypt
