name,Gender,Species,Loyalty
Rufus Scrimgeour,Male,Human,British Ministry of Magic
Hepzibah Smith,Female,Human,Hufflepuff family
Arabella Figg,Female,Human,Albus Dumbledore
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Harry Potter,Male,Human,Potter family
Cormac McLaggen,Male,Human,McLaggen family
Terry Boot,Male,Human,Boot family
Rosmerta,Female,Human,Three Broomsticks Inn
Iris,Female,Human,Karasu family
Florean Fortescue,Male,Human,Fortescue family
Jack Sloper,Male,Human,Hogwarts School of Witchcraft and Wizardry
Galatea Merrythought,Female,Human,Hogwarts School of Witchcraft and Wizardry
Petunia Dursley,Female,Human,Evans family
Sybill Trelawney,Female,Human,Hogwarts School of Witchcraft and Wizardry
Rita Skeeter,Female,Human,Daily Prophet
Cadwallader,Male,Human,Hogwarts School of Witchcraft and Wizardry
Lee Jordan,Male,Human,Jordan family
Fenrir Greyback,Male,Werewolf,Tom Riddle
Romilda Vane,Female,Human,Vane family
Neville Longbottom,Male,Human,Longbottom family
Blaise Zabini,Male,Human,Zabini family
Dean Thomas,Male,Human,Thomas family
Theodore Nott,Male,Human,Nott family
Puddifoot,Female,Human,Madam Puddifoot's Tea Shop
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Salazar Slytherin,Male,Human,Hogwarts School of Witchcraft and Wizardry
Cedric,Male,Human,Hogwarts School of Witchcraft and Wizardry
Marcus Belby,Male,Human,Hogwarts School of Witchcraft and Wizardry
Cornelius Fudge,Male,Human,Order of Merlin
Wilkie Twycross,Male,Human,British Ministry of Magic
Peeves,Male,Poltergeist,Hogwarts School of Witchcraft and Wizardry
Dudley,Male,Human,British Ministry of Magic
Phineas Nigellus Black,Male,Human,Hogwarts School of Witchcraft and Wizardry
Lily L. Potter,Female,Human,Potter family
Viktor Krum,Male,Human,Durmstrang Institute
Ravenclaw Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Hokey,Female,House-elf,Hepzibah Smith
Marvolo Gaunt,Male,Human,House of Gaunt
Muriel,Female,Human,Order of the Phoenix
Wilhelmina Grubbly-Plank,Female,Human,Hogwarts School of Witchcraft and Wizardry
Mullet,Female,Human,Irish National Quidditch team
Fleur Delacour,Female,Half-Veela,Delacour family
Igor Karkaroff,Male,Human,Death Eaters
Hannah Abbott,Female,Human,Abbott family
Dolores Umbridge,Female,Human,British Ministry of Magic
Cho Chang,Female,Human,Chang family
Dobby,Male,House-elf,Malfoy family
Katie Bell,Female,Human,Bell family
Malkin,Female,Human,Madam Malkin's Robes for All Occasions
Moran,Female,Human,Irish National Quidditch team
Gerbold Ollivander,Male,Human,Ollivander family
Ronald Weasley,Male,Human,Weasley family
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Heady,Male,Shrunken head,Knockturn Alley
Amy Benson,Female,Human,Wool's Orphanage
Eileen Prince,Female,Human,Prince family
Nott,Male,Human,Nott family
Morfin Gaunt,Male,Human,House of Gaunt
Hermione Granger,Female,Human,Granger family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Bellatrix Lestrange,Female,Human,House of Black
Bloody Baron,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ernest Macmillan,Male,Human,Macmillan family
Ernest Prang,Male,Human,Knight Bus
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Marietta Edgecombe,Female,Human,Hogwarts School of Witchcraft and Wizardry
Gwenog Jones,Female,Human,Jones family
Fat Lady,Female,Human,Hogwarts School of Witchcraft and Wizardry
Susan Bones,Female,Human,Bones family
Gibbon,Male,Human,Tom Riddle
Ginevra Weasley,Female,Human,Weasley family
Luisa,Female,Human,Hogwarts School of Witchcraft and Wizardry
Pomona Sprout,Female,Human,Hogwarts School of Witchcraft and Wizardry
Remus Lupin,Male,Werewolf,Lupin family
Parvati Patil,Female,Human,Patil family
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Vernon Dursley,Male,Human,Dursley family
Demelza Robins,Female,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Myron Wagtail,Male,Human,Weird Sisters
Dennis,Male,Human,Dudley Dursley's gang
Mundungus Fletcher,Male,Human,Order of the Phoenix
Herbert Chorley,Male,Human,Great Britain
Billy Stubbs,Male,Human,Wool's orphanage
Healer (Diagon Alley),Female,Human,Healer Shop
Dennis Bishop,Male,Human,Wool's Orphanage
Crabbe,Male,Human,Crabbe family
Eloise Midgen,Female,Human,Hogwarts School of Witchcraft and Wizardry
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Bob Ogden,Male,Human,British Ministry of Magic
Harper,Male,Human,Hogwarts School of Witchcraft and Wizardry
Maud Montague,Female,Human,Montague family
Bartemius Crouch Junior,Male,Human,Tom Riddle
Celestina Warbeck,Female,Human,Hogwarts School of Witchcraft and Wizardry
Kreacher,Male,House-elf,House of Black
Quirinus Quirrell,Male,Human,Hogwarts School of Witchcraft and Wizardry
Molly Weasley,Female,Human,Weasley family
Severus Snape,Male,Human,Snape family
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Narcissa Malfoy,Female,Human,House of Black
Albus Dumbledore,Male,Human,Order of Merlin
Leanne,Female,Human,Hogwarts School of Witchcraft and Wizardry
Z. Nettles,Female,Human,Nettles family
Arthur,Male,Human,Court of King Arthur
Lavender Brown,Female,Human,Brown family
Minerva McGonagall,Female,Human,McGonagall family
Trevor,Male,Toad,Algie Longbottom
Nymphadora Tonks,Female,Human,Tonks family
Michael Corner,Male,Human,Hogwarts School of Witchcraft and Wizardry
Caractacus Burke,Male,Human,Borgin and Burkes
Rolanda Hooch,Female,Human,Hogwarts School of Witchcraft and Wizardry
Luna Lovegood,Female,Human,Lovegood family
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Fawkes,Male,Phoenix,Albus Dumbledore
Irma Pince,Female,Human,Hogwarts School of Witchcraft and Wizardry
Borgin,Male,Human,Borgin and Burkes
Buckbeak,Male,Hippogriff,Order of the Phoenix
Kingsley Shacklebolt,Male,Human,Shacklebolt family
Stanley Shunpike,Male,Human,Knight Bus
Peter,Male,Human,Hogwarts School of Witchcraft and Wizardry
Vaisey,Male,Human,Hogwarts School of Witchcraft and Wizardry
Dark Witch in Knockturn Alley,Female,Human,R
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Emmeline Vance,Female,Human,Order of the Phoenix
Horace Slughorn,Male,Human,Slughorn family
Tobias Snape,Male,Human,Snape family
Dirk Cresswell,Male,Human,British Ministry of Magic
Ritchie Coote,Male,Human,Hogwarts School of Witchcraft and Wizardry
Zacharias Smith,Male,Human,Smith family
Gregory Goyle,Male,Human,Goyle family
Crookshanks,Male,Kneazle,Magical Menagerie
Tom Riddle,Male,Human,Death Eaters
Goyle,Male,Human,Goyle family
Nagini,Female,Human,Circus Arcanus
Armando Dippet,Male,Human,Hogwarts School of Witchcraft and Wizardry
Fang,Male,Boarhound,Rubeus Hagrid
Jimmy Peakes,Male,Human,Peakes family
Amelia Bones,Female,Human,Ministry of Magic
Percy Weasley,Male,Human,Weasley family
Fergus Cowley,Male,Human,Hogwarts School of Witchcraft and Wizardry
Grawp,Male,Giant,Hagrid family
Aragog,Male,Acromantula,Rubeus Hagrid
Olympe Maxime,Female,Human,Beauxbatons Academy of Magic
