src,trg,weight
Sir Luckless,Harry Potter,2
Sir Luckless,Ronald Weasley,2
Sir Luckless,Stanley Shunpike,1
Stubby Boardman,Harry Potter,1
Stubby Boardman,Luisa,1
Lavender Brown,Justin Finch-Fletchley,2
Lavender Brown,Harry Potter,2
Lavender Brown,Colin Creevey,1
Lavender Brown,Seamus Finnigan,1
Lavender Brown,Ronald Weasley,2
Lavender Brown,Parvati Patil,1
Lavender Brown,Violet,1
Lavender Brown,Neville Longbottom,1
George Weasley,Harry Potter,1
George Weasley,Lee Jordan,1
George Weasley,Maud Montague,1
George Weasley,Fred Weasley,4
Dan,Harry Potter,1
Dan,Ronald Weasley,1
Dan,Albus Dumbledore,2
Dan,Fred Weasley,1
Dan,Percy Weasley,2
Justin Finch-Fletchley,Terry Boot,1
Justin Finch-Fletchley,Colin Creevey,4
Justin Finch-Fletchley,Hannah Abbott,2
Justin Finch-Fletchley,Ernest Macmillan,2
Justin Finch-Fletchley,Angelina Johnson,1
Justin Finch-Fletchley,Susan Bones,1
Justin Finch-Fletchley,Luna Lovegood,1
Justin Finch-Fletchley,Alicia Spinnet,1
Justin Finch-Fletchley,Anthony Goldstein,1
Alys,Harry Potter,2
Alys,Everard,2
Alys,Ronald Weasley,2
Alys,Albus Dumbledore,2
Hedwig,Harry Potter,8
Hedwig,Wilhelmina Grubbly-Plank,2
Hedwig,Ronald Weasley,1
Hedwig,Hermione Granger,2
Hedwig,Minerva McGonagall,1
Mrs Norris,Harry Potter,1
Mrs Norris,Hermione Granger,1
Mrs Norris,Minerva McGonagall,1
Harry Potter,Cadogan,2
Harry Potter,Terry Boot,1
Harry Potter,Frank,1
Harry Potter,Petunia Dursley,2
Harry Potter,Sybill Trelawney,8
Harry Potter,Rodolphus Lestrange,1
Harry Potter,Rita Skeeter,1
Harry Potter,Lee Jordan,5
Harry Potter,Dean Thomas,4
Harry Potter,Theodore Nott,1
Harry Potter,Cedric,8
Harry Potter,Everard,1
Harry Potter,Colin Creevey,1
Harry Potter,Cornelius Fudge,2
Harry Potter,Perkins,2
Harry Potter,Phineas Nigellus Black,12
Harry Potter,Lily L. Potter,1
Harry Potter,Ravenclaw Lad,1
Harry Potter,Seamus Finnigan,7
Harry Potter,Wilhelmina Grubbly-Plank,2
Harry Potter,Alice,1
Harry Potter,Griselda Marchbanks,2
Harry Potter,Hannah Abbott,1
Harry Potter,Dolores Umbridge,64
Harry Potter,Cho Chang,27
Harry Potter,Dedalus Diggle,1
Harry Potter,Dobby,22
Harry Potter,Antonin Dolohov,1
Harry Potter,Ronald Weasley,325
Harry Potter,Nick Alas,3
Harry Potter,Hermione Granger,185
Harry Potter,Marius Black,2
Harry Potter,Bellatrix Lestrange,2
Harry Potter,Ernest Macmillan,3
Harry Potter,Marietta Edgecombe,9
Harry Potter,Gryffindor Lad,1
Harry Potter,Ginevra Weasley,21
Harry Potter,Luisa,18
Harry Potter,Remus Lupin,15
Harry Potter,Parvati Patil,4
Harry Potter,Rubeus Hagrid,55
Harry Potter,Pansy Parkinson,1
Harry Potter,Vernon Dursley,45
Harry Potter,Pierre Bonaccord,2
Harry Potter,Blythe Parkin,1
Harry Potter,Lucius Malfoy,32
Harry Potter,Myron Wagtail,3
Harry Potter,Mundungus Fletcher,6
Harry Potter,Crabbe,4
Harry Potter,Gilderoy Lockhart,1
Harry Potter,Peter James,14
Harry Potter,Maud Montague,2
Harry Potter,Bartemius Crouch Junior,1
Harry Potter,Davies,2
Harry Potter,Edgar Bones,2
Harry Potter,Euan Abercrombie,1
Harry Potter,Kreacher,9
Harry Potter,Quirinus Quirrell,2
Harry Potter,Molly Weasley,1
Harry Potter,Severus Snape,74
Harry Potter,Willy Widdershins,1
Harry Potter,Violet,23
Harry Potter,Filius Flitwick,2
Harry Potter,Minerva McGonagall,20
Harry Potter,Albus Dumbledore,87
Harry Potter,Arthur,4
Harry Potter,Michael Corner,1
Harry Potter,Rolanda Hooch,3
Harry Potter,Luna Lovegood,2
Harry Potter,George III,24
Harry Potter,Draco Malfoy,1
Harry Potter,Alicia Spinnet,4
Harry Potter,Buckbeak,1
Harry Potter,Kingsley Shacklebolt,10
Harry Potter,Katie Bell,3
Harry Potter,Fred Weasley,25
Harry Potter,Stanley Shunpike,2
Harry Potter,Neville Longbottom,44
Harry Potter,Hestia Jones,1
Harry Potter,Zacharias Smith,5
Harry Potter,Crookshanks,2
Harry Potter,William Weasley,1
Harry Potter,Goyle,4
Harry Potter,Anthony Goldstein,1
Harry Potter,Firenze,3
Harry Potter,Daphne Greengrass,1
Harry Potter,Armando Dippet,2
Harry Potter,Demelza Robins,1
Harry Potter,Tofty,1
Harry Potter,Fang,3
Harry Potter,Sturgis Podmore,2
Harry Potter,Percy Weasley,11
Harry Potter,Grawp,6
Terry Boot,Padma Patil,1
Terry Boot,Michael Corner,1
Terry Boot,Alicia Spinnet,1
Terry Boot,Neville Longbottom,1
Terry Boot,Anthony Goldstein,2
Avery I,Ronald Weasley,1
Avery I,Hermione Granger,1
Padma Patil,Dean Thomas,1
Padma Patil,Hannah Abbott,1
Padma Patil,Cho Chang,1
Padma Patil,Ronald Weasley,1
Padma Patil,Parvati Patil,1
Padma Patil,Filius Flitwick,1
Padma Patil,Neville Longbottom,2
Padma Patil,Anthony Goldstein,1
Jack Sloper,Pike,1
Jack Sloper,Ronald Weasley,1
Jack Sloper,Alicia Spinnet,1
Frank,Alice,1
Frank,Hermione Granger,1
Petunia Dursley,Minerva McGonagall,1
Gideon Prewett,Benjy Fenwick,1
Gideon Prewett,Fabian Prewett,1
Gideon Prewett,Augustus Rookwood,1
Sybill Trelawney,Dolores Umbridge,5
Sybill Trelawney,Ronald Weasley,3
Sybill Trelawney,Hermione Granger,1
Sybill Trelawney,Parvati Patil,2
Sybill Trelawney,Rubeus Hagrid,1
Sybill Trelawney,Minerva McGonagall,2
Sybill Trelawney,Albus Dumbledore,2
Rodolphus Lestrange,Bartemius Crouch Junior,1
Rita Skeeter,Hermione Granger,6
Rita Skeeter,Luisa,1
Rita Skeeter,Violet,1
Rita Skeeter,Luna Lovegood,1
Lee Jordan,Ronald Weasley,1
Lee Jordan,Hermione Granger,2
Lee Jordan,George III,3
Lee Jordan,Alicia Spinnet,2
Lee Jordan,Katie Bell,3
Lee Jordan,Fred Weasley,2
John Dawlish,Albus Dumbledore,1
Pike,Zacharias Smith,1
Dean Thomas,Seamus Finnigan,5
Dean Thomas,Dolores Umbridge,2
Dean Thomas,Ronald Weasley,2
Dean Thomas,Hermione Granger,1
Dean Thomas,Ginevra Weasley,1
Dean Thomas,Parvati Patil,2
Dean Thomas,Rubeus Hagrid,1
Dean Thomas,Neville Longbottom,2
Dean Thomas,Firenze,1
Theodore Nott,Hermione Granger,1
Frank Longbottom,Alice,1
Frank Longbottom,Ronald Weasley,1
Frank Longbottom,Hermione Granger,2
Frank Longbottom,Ginevra Weasley,1
Cedric,Seamus Finnigan,1
Cedric,Severus Snape,1
Cedric,Albus Dumbledore,1
Cedric,Zacharias Smith,1
Everard,Albus Dumbledore,1
Miranda Goshawk,Wilbert Slinkhard,1
Miranda Goshawk,Fred Weasley,1
Adrian Pucey,Hermione Granger,1
Colin Creevey,Hannah Abbott,2
Colin Creevey,Ernest Macmillan,2
Colin Creevey,Angelina Johnson,2
Colin Creevey,Parvati Patil,1
Colin Creevey,Luna Lovegood,1
Colin Creevey,Alicia Spinnet,2
Colin Creevey,Katie Bell,2
Colin Creevey,Neville Longbottom,1
Cornelius Fudge,Griselda Marchbanks,1
Cornelius Fudge,Ronald Weasley,1
Cornelius Fudge,Minerva McGonagall,3
Cornelius Fudge,Albus Dumbledore,1
Perkins,Ronald Weasley,1
Dudley,Vernon Dursley,1
Phineas Nigellus Black,Marietta Edgecombe,1
Phineas Nigellus Black,Ginevra Weasley,1
Phineas Nigellus Black,Severus Snape,1
Phineas Nigellus Black,Albus Dumbledore,7
Lily L. Potter,Peter James,2
Lily L. Potter,Severus Snape,1
Fabian Prewett,Augustus Rookwood,1
Viktor Krum,Ronald Weasley,1
Wilbert Slinkhard,Hermione Granger,1
Wilbert Slinkhard,George III,1
Wilbert Slinkhard,Fred Weasley,1
Ravenclaw Lad,Ginevra Weasley,1
Seamus Finnigan,Ronald Weasley,3
Seamus Finnigan,Hermione Granger,2
Seamus Finnigan,Severus Snape,1
Seamus Finnigan,Minerva McGonagall,1
Seamus Finnigan,Albus Dumbledore,1
Seamus Finnigan,Neville Longbottom,3
Nicholas de Mimsy-Porpington,Nick Alas,1
Wilhelmina Grubbly-Plank,Hermione Granger,1
Wilhelmina Grubbly-Plank,Rubeus Hagrid,2
Wilhelmina Grubbly-Plank,Minerva McGonagall,2
Alice,Hermione Granger,1
Griselda Marchbanks,Dolores Umbridge,1
Griselda Marchbanks,Tiberius Ogden,1
Griselda Marchbanks,Ronald Weasley,1
Griselda Marchbanks,Hermione Granger,1
Griselda Marchbanks,Albus Dumbledore,2
Griselda Marchbanks,Neville Longbottom,1
Griselda Marchbanks,Tofty,1
Rosie,Ronald Weasley,1
Rosie,George III,1
Rosie,Fred Weasley,1
Hannah Abbott,Ronald Weasley,1
Hannah Abbott,Hermione Granger,1
Hannah Abbott,Ernest Macmillan,5
Hannah Abbott,Susan Bones,1
Hannah Abbott,Helga Hufflepuff,1
Hannah Abbott,Anthony Goldstein,1
Dolores Umbridge,Cho Chang,1
Dolores Umbridge,Edgecombe,1
Dolores Umbridge,Ronald Weasley,9
Dolores Umbridge,Hermione Granger,29
Dolores Umbridge,Marietta Edgecombe,2
Dolores Umbridge,Ginevra Weasley,2
Dolores Umbridge,Luisa,1
Dolores Umbridge,Parvati Patil,1
Dolores Umbridge,Rubeus Hagrid,3
Dolores Umbridge,Pansy Parkinson,2
Dolores Umbridge,Lucius Malfoy,4
Dolores Umbridge,Molly Weasley,1
Dolores Umbridge,Severus Snape,8
Dolores Umbridge,Filius Flitwick,2
Dolores Umbridge,Minerva McGonagall,12
Dolores Umbridge,Albus Dumbledore,9
Dolores Umbridge,George III,3
Dolores Umbridge,Kingsley Shacklebolt,1
Dolores Umbridge,Fred Weasley,6
Dolores Umbridge,Fang,1
Cho Chang,Ronald Weasley,3
Cho Chang,Hermione Granger,8
Cho Chang,Marietta Edgecombe,1
Cho Chang,Ginevra Weasley,2
Cho Chang,Parvati Patil,1
Cho Chang,Davies,3
Cho Chang,Severus Snape,2
Cho Chang,Michael Corner,2
Cho Chang,Fred Weasley,1
Cho Chang,Neville Longbottom,1
Dedalus Diggle,Albus Dumbledore,1
Dobby,Hermione Granger,1
Dobby,Luisa,1
Dobby,Winky,2
Edgecombe,Minerva McGonagall,1
Ronald Weasley,Nick Alas,1
Ronald Weasley,Hermione Granger,173
Ronald Weasley,Marius Black,1
Ronald Weasley,Miles Bletchley,1
Ronald Weasley,Ernest Macmillan,1
Ronald Weasley,Gryffindor Lad,2
Ronald Weasley,Ginevra Weasley,31
Ronald Weasley,Luisa,5
Ronald Weasley,Ronan,1
Ronald Weasley,Remus Lupin,5
Ronald Weasley,Rubeus Hagrid,5
Ronald Weasley,Pansy Parkinson,3
Ronald Weasley,Vernon Dursley,3
Ronald Weasley,Oliver Wood,1
Ronald Weasley,Blythe Parkin,3
Ronald Weasley,Lucius Malfoy,7
Ronald Weasley,Mundungus Fletcher,4
Ronald Weasley,Gilderoy Lockhart,1
Ronald Weasley,Edgar Bones,1
Ronald Weasley,Kreacher,2
Ronald Weasley,Molly Weasley,1
Ronald Weasley,Severus Snape,6
Ronald Weasley,Willy Widdershins,1
Ronald Weasley,Violet,3
Ronald Weasley,Minerva McGonagall,3
Ronald Weasley,Albus Dumbledore,21
Ronald Weasley,Arthur,3
Ronald Weasley,Michael Corner,5
Ronald Weasley,Luna Lovegood,1
Ronald Weasley,George III,17
Ronald Weasley,Draco Malfoy,1
Ronald Weasley,Alicia Spinnet,4
Ronald Weasley,Kingsley Shacklebolt,4
Ronald Weasley,Fred Weasley,25
Ronald Weasley,Augustus Pye,1
Ronald Weasley,Stanley Shunpike,3
Ronald Weasley,Neville Longbottom,13
Ronald Weasley,Zacharias Smith,6
Ronald Weasley,Crookshanks,1
Ronald Weasley,William Weasley,2
Ronald Weasley,Anthony Goldstein,1
Ronald Weasley,Firenze,1
Ronald Weasley,Sturgis Podmore,2
Ronald Weasley,Percy Weasley,4
Nick Alas,Hermione Granger,1
Nick Alas,Neville Longbottom,2
Millicent Bulstrode,Hermione Granger,5
Millicent Bulstrode,Lucius Malfoy,1
Hermione Granger,Ernest Macmillan,2
Hermione Granger,Pigwidgeon,1
Hermione Granger,Ginevra Weasley,22
Hermione Granger,Luisa,4
Hermione Granger,Ronan,1
Hermione Granger,Rubeus Hagrid,19
Hermione Granger,Pansy Parkinson,2
Hermione Granger,Oliver Wood,1
Hermione Granger,Lucius Malfoy,5
Hermione Granger,Crabbe,1
Hermione Granger,Winky,1
Hermione Granger,Kreacher,2
Hermione Granger,Severus Snape,4
Hermione Granger,Violet,6
Hermione Granger,Minerva McGonagall,2
Hermione Granger,Albus Dumbledore,17
Hermione Granger,Helga Hufflepuff,1
Hermione Granger,Michael Corner,1
Hermione Granger,Luna Lovegood,1
Hermione Granger,George III,6
Hermione Granger,Katie Bell,2
Hermione Granger,Fred Weasley,14
Hermione Granger,Neville Longbottom,14
Hermione Granger,Zacharias Smith,1
Hermione Granger,Crookshanks,1
Hermione Granger,Anthony Goldstein,1
Hermione Granger,Fang,2
Hermione Granger,Percy Weasley,2
Hermione Granger,Grawp,4
Hermione Granger,Olympe Maxime,2
Marius Black,Ginevra Weasley,1
Marius Black,George III,1
