src,trg,weight
George Weasley,Harry Potter,1
George Weasley,Scabior,1
George Weasley,Oliver Wood,1
George Weasley,Rolanda Hooch,1
George Weasley,Katie Bell,1
George Weasley,Fred Weasley,6
Hedwig,Harry Potter,4
Hedwig,Ronald Weasley,3
Hedwig,Neville Longbottom,1
Hedwig,Errol,2
Mrs Norris,Harry Potter,1
Mrs Norris,Albus Dumbledore,1
Bathilda Bagshot,Harry Potter,1
Harry Potter,Cadogan,1
Harry Potter,Rosmerta,1
Harry Potter,Henerick,1
Harry Potter,Florean Fortescue,1
Harry Potter,Petunia Dursley,1
Harry Potter,Sybill Trelawney,12
Harry Potter,Lee Jordan,1
Harry Potter,Dean Thomas,1
Harry Potter,Cedric,2
Harry Potter,Adrian Pucey,1
Harry Potter,Colin Creevey,1
Harry Potter,Cornelius Fudge,1
Harry Potter,Dudley,2
Harry Potter,Phineas Nigellus Black,17
Harry Potter,Scabior,2
Harry Potter,Remus Lupin,34
Harry Potter,Rowena Ravenclaw,2
Harry Potter,Seamus Finnigan,1
Harry Potter,Cho Chang,5
Harry Potter,Ronald Weasley,160
Harry Potter,Nott,1
Harry Potter,Hermione Granger,118
Harry Potter,Ernest Macmillan,1
Harry Potter,Ginevra Weasley,1
Harry Potter,Rubeus Hagrid,26
Harry Potter,Pansy Parkinson,1
Harry Potter,Vernon Dursley,27
Harry Potter,Oliver Wood,9
Harry Potter,Blythe Parkin,1
Harry Potter,Lucius Malfoy,31
Harry Potter,Crabbe,7
Harry Potter,Peter James,3
Harry Potter,Severus Snape,30
Harry Potter,Violet,6
Harry Potter,Filius Flitwick,2
Harry Potter,Albus Dumbledore,23
Harry Potter,Helga Hufflepuff,3
Harry Potter,Minerva McGonagall,19
Harry Potter,Rolanda Hooch,4
Harry Potter,Ripper,5
Harry Potter,George III,6
Harry Potter,Draco Malfoy,1
Harry Potter,Alicia Spinnet,1
Harry Potter,Angelina Johnson,1
Harry Potter,Buckbeak,15
Harry Potter,Stanley Shunpike,7
Harry Potter,Peter,15
Harry Potter,Katie Bell,4
Harry Potter,Fred Weasley,8
Harry Potter,Charles Weasley,1
Harry Potter,Neville Longbottom,15
Harry Potter,Gregory Goyle,1
Harry Potter,Crookshanks,10
Harry Potter,William Weasley,1
Harry Potter,Tom Riddle,2
Harry Potter,Goyle,6
Harry Potter,Walden Macnair,2
Harry Potter,Percy Weasley,5
Harry Potter,Errol,1
Harry Potter,Godric Gryffindor,1
Rosmerta,Peter James,1
Rosmerta,Filius Flitwick,1
Rosmerta,Albus Dumbledore,1
Henerick,Lee Jordan,1
Florean Fortescue,Ronald Weasley,1
Florean Fortescue,Hermione Granger,1
Sybill Trelawney,Ronald Weasley,3
Sybill Trelawney,Hermione Granger,7
Sybill Trelawney,Parvati Patil,3
Sybill Trelawney,Albus Dumbledore,1
Sybill Trelawney,Minerva McGonagall,1
Sybill Trelawney,Neville Longbottom,2
Lee Jordan,Ronald Weasley,1
Lee Jordan,Blythe Parkin,1
Lee Jordan,Lucius Malfoy,1
Lee Jordan,Minerva McGonagall,1
Lee Jordan,Rolanda Hooch,1
Binky,Hermione Granger,1
Dean Thomas,Seamus Finnigan,3
Dean Thomas,Ronald Weasley,1
Dean Thomas,Parvati Patil,1
Dean Thomas,Vernon Dursley,1
Dean Thomas,Crabbe,1
