country_iso3,merchandise_of_gdp,area,population,industry_of_gdp,continent,agriculture_forestry_fishing_of_gdp,life_expectancy,landlocked,colonizer,net_barter_of_trade,inflation_rate,langoff_1,gni_atlas,foreign_direct_investment_inflows,happiness,gdp_us_dollar,gdp_growth,gdp_per_capita
AFG,38.7041485662647,652225,30117411,22.7402524820273,Asia,23.7436639877543,61.553,1,USA,144.7518695,11.8041858089129,Persian,16077121255.9847,52173421.0,0.721,17804292964.0,0.4263547929,591.162798293135
AGO,78.3059714796182,1246700,24220660,56.026514743024,Africa,5.84568096888111,56.33,0,PRT,244.3291519,13.4824679218512,Portuguese,82606027251.3298,-3023770965.83688,0.708,111789686464.0,3.471976345,4615.46821863819
ALB,56.8624113125754,28748,2905195,24.484407516121,Europe,18.2267654155688,76.914,0,NONE,94.33720177,3.42912324722164,Albanian,12803715190.2171,1048706682.05458,0.568,12890765324.0,2.545321845,4437.14288515077
ARE,151.702461172787,83657,8946778,58.0355992952437,Asia,0.671910149003627,76.521,0,GBR,176.1497815,0.877346595685083,Arabic,313384146047.084,7152095825.6,0.764,350666031314.0,6.930271629,39194.672239975
ARG,29.8719291780486,2766889,41261490,25.2126976058843,America,6.99873377022519,75.439,0,NONE,160.564925,9.8,Spanish,442106779404.792,10839930944.6815,0.813,530163281575.0,6.003951693,12848.8641969705
ARM,54.0222821392664,29800,2876536,27.5,Asia,17.5,73.572,1,NONE,128.2433543,7.6500080785929,Armenian,10160338267.6272,653219756.47225,0.488,10142111334.0,4.699999999,3525.80719813557
AUS,36.9050252078536,7686848,22340024,26.4361276332007,Pacific,2.27654236627696,81.8951219512195,0,NONE,200.2885825,3.30385015608744,English,1124159547094.07,65554890649.5348,0.863,1396649906339.0,2.462756312,62517.8337471503
AUT,85.5550043383505,83858,8391643,25.4474320432043,Europe,1.40191493427276,80.9829268292683,1,NONE,88.72963314,3.28657914875376,German,424545777489.332,22983942931.9264,0.89,431120310089.0,2.922797284,51374.9584066934
AZE,67.7178136400292,86600,9173082,61.7339963903076,Asia,5.07622595138436,71.234,1,NONE,199.3036857,7.85833333333332,Azeri,50106859850.0597,4485120000.0,0.455,65951627200.0,-1.572997621,7189.69122920765
BDI,39.1355155379094,27834,8958406,14.8096813161324,Africa,36.7045760044036,57.925,1,DEU,164.5119637,9.59216605979671,French,2104253277.07175,3354999.1805922,0.683,2235820868.0,4.032602496,249.577972769836
BEL,180.354554932841,33114,11038264,20.7778964049581,Europe,0.648034219951815,80.5853658536585,0,NONE,94.86824368,3.53208210722744,Dutch,512154309724.699,163624381384.585,0.821,522645519184.0,1.694513899,47348.5250202016
BEN,33.0954235595754,112622,9460829,18.1374491115974,Africa,25.7970008253273,59.59,0,FRA,137.2188236,2.70423907747279,French,10357314404.0903,161302390.821902,0.543,10693321954.0,2.963752919,1130.27318959427
BFA,39.7755133137476,274200,16081915,28.3722709055706,Africa,23.043650452489,57.761,1,FRA,139.8371615,2.7597672485453,French,10923947196.1676,143845512.327138,0.497,12080296644.0,6.622562613,751.172770411005
