source,target
AFG,ARG
AFG,BFA
AFG,CAF
AFG,CMR
AFG,COL
AFG,DOM
AFG,DZA
AFG,ECU
AFG,EST
AFG,GAB
AFG,GIN
AFG,GTM
AFG,HRV
AFG,JAM
AFG,KEN
AFG,LBN
AFG,MDA
AFG,MEX
AFG,MLT
AFG,MOZ
AFG,MRT
AFG,MUS
AFG,OMN
AFG,SVN
AFG,SWZ
AFG,TCD
AFG,UGA
AFG,UKR
AFG,ZAF
AGO,AFG
AGO,ALB
AGO,AUT
AGO,BDI
AGO,BFA
AGO,BOL
AGO,CMR
AGO,DNK
AGO,ECU
AGO,EST
AGO,GTM
AGO,HTI
AGO,IRQ
AGO,JAM
AGO,KHM
AGO,LSO
AGO,LTU
AGO,MYS
AGO,OMN
AGO,SDN
AGO,SUR
AGO,SWZ
AGO,TCD
AGO,TJK
AGO,TZA
AGO,UKR
ALB,AFG
ALB,ARM
ALB,BWA
ALB,CAF
ALB,CAN
ALB,GEO
ALB,HTI
ALB,ITA
ALB,KEN
ALB,MAR
ALB,MEX
ALB,MUS
ALB,NGA
ALB,NIC
ALB,NZL
ALB,PHL
ALB,TKM
ALB,TTO
ALB,UZB
ARE,ALB
ARE,COG
ARE,EST
ARE,FIN
ARE,JAM
ARE,LBR
ARE,LSO
ARE,LTU
ARE,LUX
ARE,MDA
ARE,MDG
ARE,MLI
ARE,MNG
ARE,NER
ARE,RWA
ARE,SWZ
ARE,TCD
ARE,UGA
ARE,VNM
ARG,AFG
ARG,BEN
ARG,ETH
ARG,GEO
ARG,GIN
ARG,IRQ
ARG,JOR
ARG,LBR
ARG,LUX
ARG,MDG
ARG,MNG
ARG,MRT
ARG,OMN
ARG,SVK
ARG,TJK
ARG,UZB
ARG,VNM
ARM,BDI
ARM,BFA
ARM,BHR
ARM,CHL
ARM,COL
ARM,DNK
ARM,DZA
ARM,EGY
ARM,HTI
ARM,ISR
ARM,JAM
ARM,JPN
ARM,LBR
ARM,LVA
ARM,MNG
ARM,NIC
ARM,PAK
ARM,PRT
ARM,RUS
ARM,SLE
ARM,SVN
ARM,TJK
ARM,URY
ARM,UZB
ARM,VNM
ARM,ZAF
AUS,BEN
AUS,CAF
AUS,COG
AUS,HND
AUS,MKD
AUS,MWI
AUS,PRY
AUS,RWA
AUS,SUR
AUS,TJK
AUS,YEM
AUS,ZMB
AUT,BFA
AUT,BGD
AUT,BWA
AUT,COG
AUT,EST
AUT,GAB
AUT,GIN
AUT,HND
AUT,HRV
AUT,HTI
AUT,JAM
AUT,MLI
AUT,MLT
AUT,PAN
AUT,SUR
AUT,TCD
AUT,TKM
AUT,TTO
AZE,ALB
AZE,ARE
AZE,BFA
AZE,BWA
AZE,CAF
AZE,CHL
AZE,CYP
AZE,DOM
AZE,GAB
AZE,HRV
AZE,LSO
AZE,LVA
AZE,MAR
AZE,MLT
AZE,MWI
AZE,NIC
AZE,SVK
AZE,TTO
AZE,TZA
BDI,ARE
BDI,ARM
BDI,BFA
BDI,BOL
BDI,CHE
BDI,COG
BDI,CRI
BDI,DNK
BDI,DZA
BDI,ECU
BDI,FIN
BDI,GAB
BDI,GRC
BDI,HRV
BDI,IND
BDI,IRN
BDI,ISL
BDI,JAM
BDI,KGZ
BDI,KHM
BDI,LKA
BDI,LTU
BDI,MDG
BDI,MEX
BDI,MOZ
BDI,MUS
BDI,NER
BDI,PAN
BDI,PRT
BDI,PRY
BDI,QAT
BDI,SWE
BDI,TUR
BDI,YEM
BEN,AGO
BEN,BHR
BEN,BOL
BEN,CHL
BEN,DZA
BEN,ESP
BEN,ETH
BEN,GRC
BEN,HUN
BEN,IDN
BEN,LBN
BEN,LSO
BEN,LTU
BEN,LVA
BEN,MNG
BEN,OMN
BEN,PRT
BEN,TKM
BEN,TUN
BEN,UZB
BEN,YEM
BEN,ZWE
BFA,AFG
BFA,AGO
BFA,BGR
BFA,BLR
BFA,CAN
BFA,DOM
BFA,GIN
BFA,GRC
BFA,GTM
BFA,ISL
BFA,ITA
BFA,KWT
BFA,LBR
BFA,MAR
BFA,MDA
BFA,MMR
BFA,PHL
BFA,PRT
BFA,SAU
BFA,THA
BFA,TJK
BFA,URY
BFA,ZWE
BGD,BEN
BGD,BFA
BGD,CAF
BGD,CAN
BGD,CMR
BGD,DNK
BGD,GAB
BGD,GIN
BGD,JOR
BGD,KGZ
BGD,KWT
BGD,LSO
BGD,LVA
BGD,MMR
BGD,MRT
BGD,MWI
BGD,NER
BGD,OMN
BGD,PRY
BGD,SVN
BGD,TUN
BGD,URY
BGD,ZMB
BGR,AZE
BGR,ESP
BGR,HND
BGR,IRL
BGR,JAM
BGR,KGZ
BGR,KHM
BGR,KWT
BGR,MAR
BGR,PER
BGR,SAU
BGR,TGO
BGR,TKM
BGR,TTO
BGR,UGA
BGR,ZWE
BHR,AFG
BHR,CZE
BHR,DOM
BHR,ECU
BHR,EST
BHR,ETH
BHR,FIN
BHR,HTI
BHR,KHM
BHR,MEX
BHR,MOZ
BHR,MRT
BHR,MWI
BHR,QAT
BHR,SUR
BHR,SVK
BHR,TTO
BHR,TUN
BHR,TZA
BHR,UGA
BHR,URY
BHR,UZB
BHR,VNM
BIH,ARM
BIH,AZE
BIH,BOL
BIH,DOM
BIH,GEO
BIH,HND
BIH,IRL
BIH,ISR
BIH,JOR
BIH,KAZ
BIH,KEN
BIH,LUX
BIH,MAR
BIH,MDG
BIH,MNG
BIH,OMN
BIH,PRY
BIH,SEN
BIH,TJK
BIH,UZB
BIH,ZAF
BIH,ZMB
BLR,ARE
BLR,BFA
BLR,BOL
BLR,CAF
BLR,CAN
BLR,COM
BLR,ETH
BLR,GAB
BLR,GEO
BLR,IRQ
BLR,JOR
BLR,JPN
BLR,KOR
BLR,MLI
BLR,MOZ
BLR,MRT
BLR,NZL
BLR,SDN
BLR,SEN
BLR,SUR
BLR,THA
BLR,UZB
BOL,AUS
BOL,AUT
BOL,BDI
BOL,BLR
BOL,BWA
BOL,CMR
BOL,COM
BOL,CYP
BOL,DZA
BOL,EGY
BOL,ETH
BOL,GTM
BOL,HRV
BOL,IRL
BOL,IRN
BOL,JOR
BOL,LBN
BOL,LSO
BOL,LVA
BOL,MLT
BOL,MRT
BOL,PER
BOL,POL
BOL,RWA
BOL,SDN
BOL,SEN
BOL,SWE
BOL,SWZ
BOL,TTO
BOL,UKR
BRA,BGR
BRA,DZA
BRA,KGZ
BRA,LSO
BRA,MDG
BRA,MKD
BRA,NER
BRA,THA
BRA,UZB
BWA,ARE
BWA,BDI
BWA,BEN
BWA,BGD
BWA,BLR
BWA,CAF
BWA,COL
BWA,ESP
BWA,EST
BWA,ETH
BWA,HTI
BWA,IDN
BWA,JOR
BWA,KOR
BWA,LBN
BWA,LBR
BWA,LTU
BWA,LVA
BWA,MLT
BWA,MUS
BWA,NOR
BWA,NPL
BWA,OMN
BWA,PER
BWA,PHL
BWA,PRT
BWA,QAT
BWA,TKM
BWA,TUN
BWA,TUR
BWA,VNM
CAF,ARE
CAF,AUT
CAF,BGR
CAF,BOL
CAF,BRA
CAF,BWA
CAF,CHE
CAF,COL
CAF,CRI
CAF,CYP
CAF,DZA
CAF,EGY
CAF,ESP
CAF,FRA
CAF,GIN
CAF,HRV
CAF,IDN
CAF,IRL
CAF,IRN
CAF,JOR
CAF,KGZ
CAF,KHM
CAF,KWT
CAF,LBN
CAF,MEX
CAF,MNG
CAF,OMN
CAF,PER
CAF,POL
CAF,SGP
CAF,SWZ
CAF,THA
CAF,TJK
CAF,VNM
CAN,AZE
CAN,CAF
CAN,COM
CAN,GEO
CAN,LTU
CAN,NPL
CAN,ZMB
CHE,BHR
CHE,COM
CHE,EST
CHE,GAB
CHE,GIN
CHE,IRQ
CHE,KHM
CHE,LBN
CHE,LBR
CHE,LKA
CHE,LUX
CHE,LVA
CHE,SWZ
CHE,TGO
CHE,TZA
CHE,YEM
CHL,ALB
CHL,ARM
CHL,BOL
CHL,CYP
CHL,ISL
CHL,KAZ
CHL,LBR
CHL,LBY
CHL,MOZ
CHL,MWI
CHL,QAT
CHL,SEN
CHL,SVK
CHL,UKR
CHL,URY
CHL,ZMB
CHN,KEN
CMR,AUT
CMR,AZE
CMR,BGD
CMR,CRI
CMR,CZE
CMR,DOM
CMR,ETH
CMR,GIN
CMR,IRL
CMR,KAZ
CMR,LBN
CMR,LTU
CMR,MAR
CMR,MEX
CMR,MRT
CMR,MUS
CMR,PHL
CMR,RUS
CMR,SWE
CMR,TKM
CMR,TUR
COG,ARE
COG,ARM
COG,AUS
COG,AUT
COG,AZE
COG,BDI
COG,BWA
COG,CAN
COG,CHL
COG,CRI
COG,ECU
COG,FIN
COG,GIN
COG,HTI
COG,KAZ
COG,KHM
COG,LKA
COG,LSO
COG,LTU
COG,LUX
COG,MEX
COG,MKD
COG,MLT
COG,MMR
COG,MWI
COG,NER
COG,NZL
COG,PAN
COG,PRT
COG,QAT
COG,SUR
COG,SVN
COG,THA
COG,TJK
COG,TKM
COG,VNM
COL,AFG
COL,AGO
COL,ARM
COL,BDI
COL,BFA
COL,COM
COL,GAB
COL,HTI
COL,JOR
COL,KGZ
COL,LBR
COL,LKA
COL,MDG
COL,MLT
COL,MOZ
COL,RWA
COL,SUR
COL,SWE
COM,ALB
COM,BDI
COM,BGR
COM,BLR
COM,BWA
COM,CAF
COM,CHE
COM,COL
COM,GAB
COM,GBR
COM,GEO
COM,GTM
COM,HTI
COM,JOR
COM,JPN
COM,KOR
COM,LUX
COM,LVA
COM,MMR
COM,MNG
COM,MUS
COM,MYS
COM,NER
COM,NGA
COM,PAK
COM,PAN
COM,POL
COM,PRY
COM,QAT
COM,TJK
COM,UKR
COM,URY
COM,USA
COM,UZB
COM,VNM
COM,ZMB
COM,ZWE
CRI,AZE
CRI,BWA
CRI,CAF
CRI,FRA
CRI,GAB
CRI,GEO
CRI,LSO
CRI,LVA
CRI,MDA
CRI,MRT
CRI,NGA
CRI,NLD
CRI,NPL
CRI,RWA
CRI,SAU
CRI,SVN
CRI,SWZ
CRI,TCD
CRI,THA
CRI,UZB
CYP,AUS
CYP,AZE
CYP,BOL
CYP,CAN
CYP,CHL
CYP,DZA
CYP,GAB
CYP,GIN
CYP,KAZ
CYP,KGZ
CYP,MLI
CYP,MWI
CYP,NIC
CYP,SWZ
CYP,ZAF
CZE,AGO
CZE,BDI
CZE,BGD
CZE,CHN
CZE,COM
CZE,CRI
CZE,CYP
CZE,DOM
CZE,GEO
CZE,JAM
CZE,KEN
CZE,KGZ
CZE,LBY
CZE,NGA
CZE,NZL
CZE,SDN
CZE,SEN
CZE,TTO
CZE,TUR
CZE,UKR
CZE,UZB
DEU,BDI
DEU,LBR
DEU,NZL
DEU,PHL
DEU,RWA
DEU,UZB
DNK,CMR
DNK,COG
DNK,GTM
DNK,HTI
DNK,KGZ
DNK,LBN
DNK,MMR
DNK,SUR
DNK,TJK
DNK,TUN
DOM,AGO
DOM,ARE
DOM,AUS
DOM,BEN
DOM,DNK
DOM,GIN
DOM,IRQ
DOM,ISL
DOM,JOR
DOM,KGZ
DOM,KOR
DOM,KWT
DOM,MWI
DOM,NGA
DOM,NOR
DOM,OMN
DOM,SAU
DOM,TCD
DOM,TGO
DOM,TKM
DOM,TTO
DOM,TUN
DOM,UZB
DOM,ZAF
DZA,ARM
DZA,AUS
DZA,BOL
DZA,BWA
DZA,CAF
DZA,FIN
DZA,GBR
DZA,GTM
DZA,HND
DZA,ISL
DZA,KGZ
DZA,MDA
DZA,MKD
DZA,MLI
DZA,MNG
DZA,PHL
DZA,PRY
DZA,SUR
