src,trg,weight
Rufus Scrimgeour,Harry Potter,1
Rufus Scrimgeour,Ronald Weasley,1
Hepzibah Smith,Helga Hufflepuff,1
Hepzibah Smith,Tom Riddle,1
George Weasley,Severus Snape,1
Dan,Rubeus Hagrid,1
Dan,Violet,1
Phineas Nigellus Black,Harry Potter,7
Phineas Nigellus Black,Ronald Weasley,4
Phineas Nigellus Black,Hermione Granger,9
Phineas Nigellus Black,Ginevra Weasley,1
Phineas Nigellus Black,Severus Snape,4
Hedwig,Harry Potter,1
Bathilda Bagshot,Harry Potter,6
Bathilda Bagshot,Rita Skeeter,3
Bathilda Bagshot,Aberforth Dumbledore,1
Bathilda Bagshot,Gellert Grindelwald,2
Bathilda Bagshot,Lily L. Potter,2
Bathilda Bagshot,Muriel,4
Bathilda Bagshot,Hermione Granger,5
Bathilda Bagshot,Ariana Dumbledore,1
Bathilda Bagshot,Peter James,1
Bathilda Bagshot,Albus Dumbledore,5
Harry Potter,Alecto Carrow,1
Harry Potter,Petunia Dursley,1
Harry Potter,Rita Skeeter,11
Harry Potter,Lee Jordan,3
Harry Potter,Aberforth Dumbledore,6
Harry Potter,Fenrir Greyback,10
Harry Potter,Dean Thomas,5
Harry Potter,Pius Thicknesse,2
Harry Potter,Mary Cattermole,4
Harry Potter,Gellert Grindelwald,2
Harry Potter,Elphias Doge,1
Harry Potter,Mafalda,1
Harry Potter,Colin Creevey,1
Harry Potter,Dudley,1
Harry Potter,Lily L. Potter,5
Harry Potter,Viktor Krum,7
Harry Potter,Rowena Ravenclaw,3
Harry Potter,Luna Lovegood,2
Harry Potter,Seamus Finnigan,2
Harry Potter,Grawp,2
Harry Potter,Marvolo Gaunt,1
Harry Potter,Muriel,5
Harry Potter,Edward Tonks,4
Harry Potter,Fleur Delacour,2
Harry Potter,Dolores Umbridge,7
Harry Potter,Dedalus Diggle,2
Harry Potter,Dobby,7
Harry Potter,Antonin Dolohov,5
Harry Potter,Gerbold Ollivander,11
Harry Potter,Xenophilius Lovegood,10
Harry Potter,Ronald Weasley,230
Harry Potter,Hermione Granger,178
Harry Potter,Ariana Dumbledore,3
Harry Potter,Bellatrix Lestrange,5
Harry Potter,Ernest Macmillan,1
Harry Potter,Pigwidgeon,2
Harry Potter,Ginevra Weasley,16
Harry Potter,Luisa,23
Harry Potter,Remus Lupin,19
Harry Potter,Alys,1
Harry Potter,Rubeus Hagrid,27
Harry Potter,Bogrod,1
Harry Potter,Vernon Dursley,19
Harry Potter,Blythe Parkin,1
Harry Potter,Lucius Malfoy,12
Harry Potter,Myron Wagtail,1
Harry Potter,Crabbe,2
Harry Potter,Griphook,26
Harry Potter,Peter James,6
Harry Potter,Kendra Dumbledore,1
Harry Potter,Kreacher,16
Harry Potter,Molly Weasley,1
Harry Potter,Severus Snape,32
Harry Potter,Violet,74
Harry Potter,Filius Flitwick,4
Harry Potter,Peter Jones,1
Harry Potter,Narcissa Malfoy,1
Harry Potter,Minerva McGonagall,6
Harry Potter,Albus Dumbledore,82
Harry Potter,Arthur,2
Harry Potter,Lavender Brown,1
