name,Gender,Species,Loyalty
Rufus Scrimgeour,Male,Human,British Ministry of Magic
Hepzibah Smith,Female,Human,Hufflepuff family
George Weasley,Male,Human,Circle of Khanna
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Phineas Nigellus Black,Male,Human,Hogwarts School of Witchcraft and Wizardry
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Bathilda Bagshot,Female,Human,Bagshot family
Harry Potter,Male,Human,Potter family
Terry Boot,Male,Human,Boot family
Avery I,Male,Human,Avery family
Gornuk,Male,Goblin,Gringotts Wizarding Bank
Alecto Carrow,Female,Human,Death Eaters
Petunia Dursley,Female,Human,Evans family
Sybill Trelawney,Female,Human,Hogwarts School of Witchcraft and Wizardry
Rita Skeeter,Female,Human,Daily Prophet
Lee Jordan,Male,Human,Jordan family
Aberforth Dumbledore,Male,Human,Hog's Head Inn
Fenrir Greyback,Male,Werewolf,Tom Riddle
John Dawlish,Male,Human,British Ministry of Magic
Selina Moore,Female,Human,Hogwarts School of Witchcraft and Wizardry
Dean Thomas,Male,Human,Thomas family
Pius Thicknesse,Male,Human,British Ministry of Magic
Mary Cattermole,Female,Human,Cattermole family
Frank Longbottom,Male,Human,Longbottom family
Gellert Grindelwald,Male,Human,Alliance
Elphias Doge,Male,Human,Order of the Phoenix
Salazar Slytherin,Male,Human,Hogwarts School of Witchcraft and Wizardry
Rosie,Female,Human,Rosie's Garden Seed Co.
Cedric,Male,Human,Hogwarts School of Witchcraft and Wizardry
Mafalda,Female,Human,Prewett family
Colin Creevey,Male,Human,Creevey family
Perkins,Male,Human,British Ministry of Magic
Dudley,Male,Human,British Ministry of Magic
Lily L. Potter,Female,Human,Potter family
Fabian Prewett,Male,Human,Prewett family
Viktor Krum,Male,Human,Durmstrang Institute
Rowena Ravenclaw,Female,Human,Hogwarts School of Witchcraft and Wizardry
Luna Lovegood,Female,Human,Lovegood family
Seamus Finnigan,Male,Human,Dumbledore's Army
Grawp,Male,Giant,Hagrid family
Marvolo Gaunt,Male,Human,House of Gaunt
Muriel,Female,Human,Order of the Phoenix
Edward Tonks,Male,Human,Tonks family
Salomé Lestrange,Female,Human,Volant family
Fleur Delacour,Female,Half-Veela,Delacour family
Igor Karkaroff,Male,Human,Death Eaters
Hannah Abbott,Female,Human,Abbott family
Dolores Umbridge,Female,Human,British Ministry of Magic
Cho Chang,Female,Human,Chang family
Dedalus Diggle,Male,Human,Order of the Phoenix
Charity Burbage,Female,Human,Hogwarts School of Witchcraft and Wizardry
Dobby,Male,House-elf,Malfoy family
Katie Bell,Female,Human,Bell family
Malkin,Female,Human,Madam Malkin's Robes for All Occasions
Antonin Dolohov,Male,Human,Death Eaters
Gerbold Ollivander,Male,Human,Ollivander family
Xenophilius Lovegood,Male,Human,Lovegood family
Ronald Weasley,Male,Human,Weasley family
Hermione Granger,Female,Human,Granger family
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Nicolas Flamel,Male,Human,Beauxbatons Academy of Magic
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Ariana Dumbledore,Female,Human,Dumbledore family
Morfin Gaunt,Male,Human,House of Gaunt
Marius Black,Male,Human,House of Black
Perseus Parkinson,Male,Human,British Ministry of Magic
Bellatrix Lestrange,Female,Human,House of Black
Ernest Macmillan,Male,Human,Macmillan family
Pigwidgeon,Male,Scops owl,Ronald Weasley
Gwenog Jones,Female,Human,Jones family
Ginevra Weasley,Female,Human,Weasley family
Moran,Female,Human,Irish National Quidditch team
Luisa,Female,Human,Hogwarts School of Witchcraft and Wizardry
Remus Lupin,Male,Werewolf,Lupin family
Parvati Patil,Female,Human,Patil family
Alys,Female,Human,Hogwarts School of Witchcraft and Wizardry
Cadmus Peverell,Male,Human,Peverell family
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Bogrod,Male,Goblin,Gringotts Wizarding Bank
Vernon Dursley,Male,Human,Dursley family
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Myron Wagtail,Male,Human,Weird Sisters
Mundungus Fletcher,Male,Human,Order of the Phoenix
Crabbe,Male,Human,Crabbe family
Griphook,Male,Goblin,Gringotts Wizarding Bank
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Kendra Dumbledore,Female,Human,Dumbledore family
Bartemius Crouch Junior,Male,Human,Tom Riddle
Davies,Male,Human,Hogwarts School of Witchcraft and Wizardry
Celestina Warbeck,Female,Human,Hogwarts School of Witchcraft and Wizardry
Kreacher,Male,House-elf,House of Black
Molly Weasley,Female,Human,Weasley family
Severus Snape,Male,Human,Snape family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Peter Jones,Male,Human,Hogwarts School of Witchcraft and Wizardry
Narcissa Malfoy,Female,Human,House of Black
Minerva McGonagall,Female,Human,McGonagall family
Albus Dumbledore,Male,Human,Order of Merlin
Arthur,Male,Human,Court of King Arthur
Lavender Brown,Female,Human,Brown family
Corban Yaxley,Male,Human,Yaxley family
Nymphadora Tonks,Female,Human,Tonks family
Michael Corner,Male,Human,Hogwarts School of Witchcraft and Wizardry
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Scabior,Male,Human,Hogwarts School of Witchcraft and Wizardry
Magnus,Male,Centaur,Fairy forest
Fawkes,Male,Phoenix,Albus Dumbledore
Lancelot (knight),Male,Human,Arthur
Borgin,Male,Human,Borgin and Burkes
Angelina Johnson,Female,Human,Johnson family
Kingsley Shacklebolt,Male,Human,Shacklebolt family
Stanley Shunpike,Male,Human,Knight Bus
Peter,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ella Wilkins,Female,Human,Hogwarts School of Witchcraft and Wizardry
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Penelope Clearwater,Female,Human,Hogwarts School of Witchcraft and Wizardry
Cole,Female,Human,Wool's Orphanage
Mykew Gregorovitch,Male,Human,Gregorovitch Zauberstäbe
Horace Slughorn,Male,Human,Slughorn family
Norberta,Female,Norwegian Ridgeback,Rubeus Hagrid
Neville Longbottom,Male,Human,Longbottom family
Hestia Jones,Female,Human,Jones family
Dirk Cresswell,Male,Human,British Ministry of Magic
Mullet,Female,Human,Irish National Quidditch team
Zacharias Smith,Male,Human,Smith family
Crookshanks,Male,Kneazle,Magical Menagerie
William Weasley,Male,Human,Weasley family
Tom Riddle,Male,Human,Death Eaters
Goyle,Male,Human,Goyle family
Enid Smeek,Female,Human,Godric's Hollow
Vulpus,Male,Human,Hogwarts School of Witchcraft and Wizardry
Nagini,Female,Human,Circus Arcanus
Anthony Goldstein,Male,Human,Goldstein family
Walden Macnair,Male,Human,Death Eaters
Firenze,Male,Centaur,Forbidden Forest Centaur colony
Armando Dippet,Male,Human,Hogwarts School of Witchcraft and Wizardry
Fang,Male,Boarhound,Rubeus Hagrid
Percy Weasley,Male,Human,Weasley family
Aragog,Male,Acromantula,Rubeus Hagrid
Heady,Male,Shrunken head,Knockturn Alley
Godric Gryffindor,Male,Human,Hogwarts School of Witchcraft and Wizardry
