name,Gender,Species,Loyalty
Sir Luckless,Male,Human,Amata
Stubby Boardman,Male,Human,The Hobgoblins
Sinistra Lowe,Female,Human,Pure-blood supremacy
Lavender Brown,Female,Human,Brown family
George Weasley,Male,Human,Circle of Khanna
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Justin Finch-Fletchley,Male,Human,Finch-Fletchley family
Alys,Female,Human,Hogwarts School of Witchcraft and Wizardry
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Rufus Fudge,Male,Human,British Ministry of Magic
Harry Potter,Male,Human,Potter family
Cadogan,Male,Human,Arthur
Terry Boot,Male,Human,Boot family
Avery I,Male,Human,Avery family
Padma Patil,Female,Human,Patil family
Henerick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Jack Sloper,Male,Human,Hogwarts School of Witchcraft and Wizardry
Frank,Male,Thunderbird,Newton Scamander
Petunia Dursley,Female,Human,Evans family
Mr Tibbles,Male,Kneazle,Arabella Figg
Gideon Prewett,Male,Human,Prewett family
Sybill Trelawney,Female,Human,Hogwarts School of Witchcraft and Wizardry
Rodolphus Lestrange,Male,Human,Tom Riddle
Rita Skeeter,Female,Human,Daily Prophet
Lee Jordan,Male,Human,Jordan family
Benjy Fenwick,Male,Human,Fenwick family
John Dawlish,Male,Human,British Ministry of Magic
Pike,Male,Human,Hogwarts School of Witchcraft and Wizardry
Dean Thomas,Male,Human,Thomas family
Theodore Nott,Male,Human,Nott family
Frank Longbottom,Male,Human,Longbottom family
Puddifoot,Female,Human,Madam Puddifoot's Tea Shop
Elphias Doge,Male,Human,Order of the Phoenix
Cedric,Male,Human,Hogwarts School of Witchcraft and Wizardry
Mafalda,Female,Human,Prewett family
Everard,Male,Human,Hogwarts School of Witchcraft and Wizardry
Miranda Goshawk,Female,Human,Goshawk family
Adrian Pucey,Male,Human,Hogwarts School of Witchcraft and Wizardry
Colin Creevey,Male,Human,Creevey family
Merlin,Male,Human,Order of Merlin
Cornelius Fudge,Male,Human,Order of Merlin
Perkins,Male,Human,British Ministry of Magic
Dudley,Male,Human,British Ministry of Magic
Phineas Nigellus Black,Male,Human,Hogwarts School of Witchcraft and Wizardry
Lily L. Potter,Female,Human,Potter family
Malcolm,Male,Human,Dudley Dursley's gang
Fabian Prewett,Male,Human,Prewett family
Viktor Krum,Male,Human,Durmstrang Institute
Wilbert Slinkhard,Male,Human,Slinkhard family
Ravenclaw Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Nicholas de Mimsy-Porpington,Male,Human,Henry VII
Wilhelmina Grubbly-Plank,Female,Human,Hogwarts School of Witchcraft and Wizardry
Mullet,Female,Human,Irish National Quidditch team
Alice,Female,Human,Hogwarts School of Witchcraft and Wizardry
Griselda Marchbanks,Female,Human,British Ministry of Magic
Fleur Delacour,Female,Half-Veela,Delacour family
Rosie,Female,Human,Rosie's Garden Seed Co.
Hannah Abbott,Female,Human,Abbott family
Dolores Umbridge,Female,Human,British Ministry of Magic
Cho Chang,Female,Human,Chang family
Dedalus Diggle,Male,Human,Order of the Phoenix
Dobby,Male,House-elf,Malfoy family
Gladys Gudgeon,Female,Human,Gilderoy Lockhart
Antonin Dolohov,Male,Human,Death Eaters
Tiberius Ogden,Male,Human,Wizengamot
Erica J.,Female,Human,Hogwarts School of Witchcraft and Wizardry
Edgecombe,Female,Human,British Ministry of Magic
Ronald Weasley,Male,Human,Weasley family
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Millicent Bulstrode,Female,Human,Bulstrode family
Hermione Granger,Female,Human,Granger family
Andromeda Tonks,Female,Human,House of Black
Marius Black,Male,Human,House of Black
Perseus Parkinson,Male,Human,British Ministry of Magic
Bellatrix Lestrange,Female,Human,House of Black
Miles Bletchley,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ernest Macmillan,Male,Human,Macmillan family
Pigwidgeon,Male,Scops owl,Ronald Weasley
Angelina Johnson,Female,Human,Johnson family
Marietta Edgecombe,Female,Human,Hogwarts School of Witchcraft and Wizardry
Gryffindor Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Susan Bones,Female,Human,Bones family
Ginevra Weasley,Female,Human,Weasley family
Luisa,Female,Human,Hogwarts School of Witchcraft and Wizardry
Ronan,Male,Centaur,Forbidden Forest Centaur colony
Remus Lupin,Male,Werewolf,Lupin family
Parvati Patil,Female,Human,Patil family
Magorian,height,Centaur,Forbidden Forest Centaur colony
Golgomath,Male,Giant,Giant colony
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Pansy Parkinson,Female,Human,Parkinson family
Vernon Dursley,Male,Human,Dursley family
Pierre Bonaccord,Male,Human,International Confederation of Wizards
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Myron Wagtail,Male,Human,Weird Sisters
Mundungus Fletcher,Male,Human,Order of the Phoenix
Crabbe,Male,Human,Crabbe family
Gilderoy Lockhart,Male,Human,Lockhart family
Eloise Midgen,Female,Human,Hogwarts School of Witchcraft and Wizardry
Peter James,Male,Human,Hogwarts School of Witchcraft and Wizardry
Tenebrus,Male,Thestral,Hogwarts School of Witchcraft and Wizardry
Maud Montague,Female,Human,Montague family
Bartemius Crouch Junior,Male,Human,Tom Riddle
Winky,Female,House-elf,Crouch family
Davies,Male,Human,Hogwarts School of Witchcraft and Wizardry
Edgar Bones,Male,Human,Bones family
Laura Madley,Female,Human,Hogwarts School of Witchcraft and Wizardry
Euan Abercrombie,Male,Human,Hogwarts School of Witchcraft and Wizardry
Kreacher,Male,House-elf,House of Black
Quirinus Quirrell,Male,Human,Hogwarts School of Witchcraft and Wizardry
Molly Weasley,Female,Human,Weasley family
Severus Snape,Male,Human,Snape family
Willy Widdershins,Male,Human,British Ministry of Magic
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Narcissa Malfoy,Female,Human,House of Black
Minerva McGonagall,Female,Human,McGonagall family
Albus Dumbledore,Male,Human,Order of Merlin
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Arthur,Male,Human,Court of King Arthur
Trevor,Male,Toad,Algie Longbottom
Nymphadora Tonks,Female,Human,Tonks family
Heather,Female,Human,Hogwarts School of Witchcraft and Wizardry
Michael Corner,Male,Human,Hogwarts School of Witchcraft and Wizardry
Rolanda Hooch,Female,Human,Hogwarts School of Witchcraft and Wizardry
Luna Lovegood,Female,Human,Lovegood family
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Bane,Male,Centaur,Forbidden Forest Centaur colony
Fawkes,Male,Phoenix,Albus Dumbledore
Irma Pince,Female,Human,Hogwarts School of Witchcraft and Wizardry
Agnes,Female,Human,St Mungo's Hospital for Magical Maladies and Injuries
Buckbeak,Male,Hippogriff,Order of the Phoenix
Kingsley Shacklebolt,Male,Human,Shacklebolt family
Katie Bell,Female,Human,Bell family
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Augustus Pye,Male,Human,St Mungo's Hospital for Magical Maladies and Injuries
Emmeline Vance,Female,Human,Order of the Phoenix
Augustus Rookwood,Male,Human,Death Eaters
Norberta,Female,Norwegian Ridgeback,Rubeus Hagrid
Stanley Shunpike,Male,Human,Knight Bus
Neville Longbottom,Male,Human,Longbottom family
Hestia Jones,Female,Human,Jones family
Caspar Crouch,Male,Human,Crouch family
Zacharias Smith,Male,Human,Smith family
Gregory Goyle,Male,Human,Goyle family
Crookshanks,Male,Kneazle,Magical Menagerie
William Weasley,Male,Human,Weasley family
Goyle,Male,Human,Goyle family
Anthony Goldstein,Male,Human,Goldstein family
Walden Macnair,Male,Human,Death Eaters
Firenze,Male,Centaur,Forbidden Forest Centaur colony
Daphne Greengrass,Female,Human,Hogwarts School of Witchcraft and Wizardry
Armando Dippet,Male,Human,Hogwarts School of Witchcraft and Wizardry
Demelza Robins,Female,Human,Hogwarts School of Witchcraft and Wizardry
Tofty,Male,Human,Wizarding Examinations Authority
Dudley Dursley,Male,Human,Dursley family
Fang,Male,Boarhound,Rubeus Hagrid
Marsh,Female,Human,Knight Bus
Sturgis Podmore,Male,Human,Podmore family
Amelia Bones,Female,Human,Ministry of Magic
Percy Weasley,Male,Human,Weasley family
Grawp,Male,Giant,Hagrid family
Olympe Maxime,Female,Human,Beauxbatons Academy of Magic
