src,trg,weight
Sir Luckless,Harry Potter,1
Sir Luckless,Ronald Weasley,1
George Weasley,Harry Potter,2
George Weasley,Gryffindor Lad,1
George Weasley,Ronald Weasley,1
George Weasley,Severus Snape,1
George Weasley,Fred Weasley,4
Hedwig,Harry Potter,3
Mrs Norris,Harry Potter,7
Mrs Norris,Ronald Weasley,3
Mrs Norris,Fang,1
Harry Potter,Lee Jordan,1
Harry Potter,Adrian,2
Harry Potter,Marcus Flint,2
Harry Potter,Neville Longbottom,18
Harry Potter,Dean Thomas,1
Harry Potter,Dudley,4
Harry Potter,Gryffindor Lad,2
Harry Potter,Seamus Finnigan,4
Harry Potter,Nicholas de Mimsy-Porpington,2
Harry Potter,Hannah Abbott,1
Harry Potter,Dedalus Diggle,1
Harry Potter,Malkin,5
Harry Potter,Gerbold Ollivander,7
Harry Potter,Ronald Weasley,106
Harry Potter,Hugh Biggs,1
Harry Potter,Hermione Granger,63
Harry Potter,Ronan,2
Harry Potter,Parvati Patil,2
Harry Potter,Rubeus Hagrid,55
Harry Potter,Vernon Dursley,49
Harry Potter,Oliver Wood,5
Harry Potter,Blythe Parkin,2
Harry Potter,Lucius Malfoy,16
Harry Potter,Healer (Diagon Alley),2
Harry Potter,Doris Crockford,3
Harry Potter,Crabbe,3
Harry Potter,Griphook,2
Harry Potter,Peter James,1
Harry Potter,Quirinus Quirrell,17
Harry Potter,Severus Snape,29
Harry Potter,Violet,4
Harry Potter,Minerva McGonagall,10
Harry Potter,Albus Dumbledore,19
Harry Potter,Rolanda Hooch,3
Harry Potter,George III,1
Harry Potter,Draco Malfoy,3
Harry Potter,Fred Weasley,7
Harry Potter,Charles Weasley,1
Harry Potter,Norberta,4
Harry Potter,Goyle,2
Harry Potter,Firenze,2
Harry Potter,Fang,1
Harry Potter,Percy Weasley,4
Terry Boot,Ravenclaw Lad,2
Petunia Dursley,Dudley,1
Fluffy,Hermione Granger,1
Fluffy,Severus Snape,1
Lee Jordan,Marcus Flint,1
Lee Jordan,Ronald Weasley,2
Adrian,Albus Dumbledore,1
Marcus Flint,Blythe Parkin,1
Marcus Flint,Angelina Johnson,1
Neville Longbottom,Dean Thomas,1
Neville Longbottom,Seamus Finnigan,2
Neville Longbottom,Ronald Weasley,5
Neville Longbottom,Hermione Granger,6
Neville Longbottom,Rubeus Hagrid,2
Neville Longbottom,Lucius Malfoy,4
Neville Longbottom,Minerva McGonagall,1
Neville Longbottom,Albus Dumbledore,2
Neville Longbottom,Trevor,2
Neville Longbottom,Draco Malfoy,1
Dean Thomas,Seamus Finnigan,1
Dean Thomas,Ronald Weasley,2
Dudley,Vernon Dursley,6
Gryffindor Lad,Ravenclaw Lad,1
Gryffindor Lad,Hannah Abbott,1
Gryffindor Lad,Ronald Weasley,1
Gryffindor Lad,Blythe Parkin,2
Gryffindor Lad,Lucius Malfoy,1
Gryffindor Lad,Severus Snape,4
Gryffindor Lad,Albus Dumbledore,1
Gryffindor Lad,Fred Weasley,1
Lily L. Potter,Peter James,2
Lily L. Potter,Minerva McGonagall,1
Lily L. Potter,Albus Dumbledore,2
Scabior,Lucius Malfoy,2
Scabior,Goyle,2
Ravenclaw Lad,Albus Dumbledore,2
Seamus Finnigan,Nicholas de Mimsy-Porpington,1
Seamus Finnigan,Ronald Weasley,1
