fanfiction,series,reviews,favs,words,MainItemLink,MainItemText,ThisInstance,downloaded,arc_computed,lang
/s/9720211/1/The-Merging,Harry-Potter,5086,11740,420992,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/9720211/1/The-Merging,1,1,en
/s/11321032/1/The-Games-They-Play,Harry-Potter,4967,7022,242874,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11321032/1/The-Games-They-Play,1,1,en
/s/11956922/1/Acceptance,Harry-Potter,1287,3679,184600,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11956922/1/Acceptance,1,1,en
/s/10622306/1/The-Day-The-Dursleys-Came-To-Hogwarts,Harry-Potter,1247,2461,203488,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/10622306/1/The-Day-The-Dursleys-Came-To-Hogwarts,1,1,en
/s/13405869/1/Hermione-Granger-and-the-Paradigm-Shift,Harry-Potter,1227,3150,83780,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13405869/1/Hermione-Granger-and-the-Paradigm-Shift,1,1,en
/s/13677220/1/Harry-Potter-and-the-Angry-Grim-Reaper,Harry-Potter,1124,2098,108055,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13677220/1/Harry-Potter-and-the-Angry-Grim-Reaper,1,1,en
/s/1453812/1/A-Twisted-Sense-of-Fate,Harry-Potter,1121,226,104512,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/1453812/1/A-Twisted-Sense-of-Fate,1,0,en
/s/11863465/1/Lord-of-the-Wind,Harry-Potter,1116,1897,238358,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11863465/1/Lord-of-the-Wind,1,1,en
/s/13160266/1/Basilisk-Eyes,Harry-Potter,917,927,495511,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13160266/1/Basilisk-Eyes,1,1,en
/s/13713964/1/Harry-Potter-Unspeakable,Harry-Potter,910,1248,147966,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13713964/1/Harry-Potter-Unspeakable,1,1,en
/s/13467415/1/Awakening,Harry-Potter,844,2837,58875,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13467415/1/Awakening,1,1,en
/s/13566959/1/If-not-for-Umbridge,Harry-Potter,788,2269,150270,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13566959/1/If-not-for-Umbridge,1,1,en
/s/13575326/1/It-s-Not-Just-A-Stick-A-Wand-Crafter-s-Story,Harry-Potter,754,1417,103577,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13575326/1/It-s-Not-Just-A-Stick-A-Wand-Crafter-s-Story,1,1,en
/s/13478367/1/Harry-Potter-and-the-Inquisitor-of-Hogwarts,Harry-Potter,751,986,162973,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13478367/1/Harry-Potter-and-the-Inquisitor-of-Hogwarts,1,1,en
/s/13667919/1/Future-Echoes,Harry-Potter,746,674,33240,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13667919/1/Future-Echoes,1,1,en
/s/13640390/1/Magical-Creatures-Will-Get-Me-Killed-Again,Harry-Potter,677,1414,361310,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13640390/1/Magical-Creatures-Will-Get-Me-Killed-Again,1,1,en
/s/13561400/1/Chamber-Girl,Harry-Potter,677,393,238713,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13561400/1/Chamber-Girl,1,1,en
/s/13715486/1/A-Pinch-of-Salt-A-Dash-of-Magic,Harry-Potter,676,965,144958,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13715486/1/A-Pinch-of-Salt-A-Dash-of-Magic,1,1,en
/s/13671901/1/A-Desperate-Vow,Harry-Potter,652,255,120986,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13671901/1/A-Desperate-Vow,1,1,en
/s/11614457/1/His-Last-Wish,Harry-Potter,651,673,128907,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11614457/1/His-Last-Wish,1,1,en
/s/13603112/1/Brontide,Harry-Potter,643,309,231604,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13603112/1/Brontide,1,1,en
/s/13577616/1/Live-Forever,Harry-Potter,622,2082,39211,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13577616/1/Live-Forever,1,1,en
/s/13563244/1/The-Choices-We-Made,Harry-Potter,617,370,580763,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13563244/1/The-Choices-We-Made,1,1,en
/s/13262590/1/Playing-With-Fire,Harry-Potter,591,1340,103888,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13262590/1/Playing-With-Fire,1,1,en
/s/5317822/1/Through-the-Keyhole,Harry-Potter,573,171,48543,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/5317822/1/Through-the-Keyhole,1,1,en
/s/13530429/1/Harry-Black-Book-3-The-SPIRE,Harry-Potter,570,1254,191926,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13530429/1/Harry-Black-Book-3-The-SPIRE,1,1,en
/s/13312738/1/The-Granger-Principle,Harry-Potter,569,230,541220,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13312738/1/The-Granger-Principle,1,1,en
/s/12531616/1/To-Be-Human,Harry-Potter,529,374,471508,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/12531616/1/To-Be-Human,1,1,en
/s/11774986/1/Rise-of-the-Dark-Lady-Hermione-adopted,Harry-Potter,500,1052,49636,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11774986/1/Rise-of-the-Dark-Lady-Hermione-adopted,1,1,en
/s/12877029/1/Raising-Snape-Mischief-Managed,Harry-Potter,485,256,63441,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/12877029/1/Raising-Snape-Mischief-Managed,1,1,en
/s/5877406/1/A-Brief-History-of-Scorpius-Malfoy,Harry-Potter,476,488,70436,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/5877406/1/A-Brief-History-of-Scorpius-Malfoy,1,1,en
/s/13341726/1/Living-in-Secret,Harry-Potter,460,693,242198,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13341726/1/Living-in-Secret,1,1,en
/s/13638849/1/Contagion,Harry-Potter,448,132,194155,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13638849/1/Contagion,1,1,en
/s/11981275/1/Mastermind,Harry-Potter,358,289,31332,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11981275/1/Mastermind,1,1,en
/s/13614583/1/The-Stand,Harry-Potter,352,501,94760,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13614583/1/The-Stand,1,1,en
/s/11831350/1/Right-in-Front-of-Me-Book-1,Harry-Potter,341,814,129037,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/11831350/1/Right-in-Front-of-Me-Book-1,1,1,en
/s/13283930/1/The-Rogues,Harry-Potter,338,379,177871,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/13283930/1/The-Rogues,1,1,en
/s/12388994/1/Sev-book-1-Severus-Prince-and-the-Marauders,Harry-Potter,323,319,67224,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/12388994/1/Sev-book-1-Severus-Prince-and-the-Marauders,1,1,en
/s/8016893/1/I-Solemnly-Swear-Nothing-Good-Can-Come-From-This,Harry-Potter,320,267,27279,https://www.fanfiction.net/book/Harry-Potter/,Harry-Potter,/s/8016893/1/I-Solemnly-Swear-Nothing-Good-Can-Come-From-This,1,1,en
