Id,Label,timeset,modularity_class
Thanos,Thanos,,0
Firestar,Firestar,,0
Apocalypse,Apocalypse,,3
Punisher,Punisher,,0
Luke Cage,Luke Cage,,0
Man-Thing,Man-Thing,,0
Scarlet Witch,Scarlet Witch,,0
Sub-Mariner,Sub-Mariner,,0
Arclight,Arclight,,3
Fabian Cortez,Fabian Cortez,,3
Captain Britain,Captain Britain,,3
Wolverine,Wolverine,,3
Lyja,Lyja,,0
Spider-Man,Spider-Man,,0
Quicksilver,Quicksilver,,0
Doctor Doom,Doctor Doom,,0
Mimic,Mimic,,3
Blob,Blob,,3
Leech,Leech,,3
Cable,Cable,,3
Colossus,Colossus,,3
Warpath,Warpath,,3
Deadpool,Deadpool,,3
Blizzard,Blizzard,,0
Meltdown,Meltdown,,3
Omega Red,Omega Red,,3
Rocket Raccoon,Rocket Raccoon,,0
Franklin Storm,Franklin Storm,,0
Kraven the Hunter,Kraven the Hunter,,0
Silverclaw,Silverclaw,,0
Gambit,Gambit,,3
Ultron,Ultron,,0
Franklin Richards,Franklin Richards,,3
Firelord,Firelord,,0
Chamber,Chamber,,3
Black Bolt,Black Bolt,,0
Boomer,Boomer,,3
Medusa,Medusa,,0
Meteorite,Meteorite,,0
Doc Samson,Doc Samson,,0
Toxin,Toxin,,1
Man-Wolf,Man-Wolf,,0
Wasp,Wasp,,0
Klaw,Klaw,,0
Box,Box,,3
Juggernaut,Juggernaut,,3
Stacy X,Stacy X,,3
Exodus,Exodus,,3
Brother Voodoo,Brother Voodoo,,0
Warbird,Warbird,,0
Domino,Domino,,3
Psylocke,Psylocke,,3
Ares,Ares,,0
Iceman,Iceman,,3
Nightcrawler,Nightcrawler,,3
Namorita,Namorita,,0
Yellow Claw,Yellow Claw,,0
Vision,Vision,,0
Genesis,Genesis,,3
Longshot,Longshot,,3
Dormammu,Dormammu,,0
Wolfsbane,Wolfsbane,,3
Blink,Blink,,3
Synch,Synch,,3
Thing,Thing,,0
Invisible Woman,Invisible Woman,,0
Archangel,Archangel,,3
Thor Girl,Thor Girl,,0
Emma Frost,Emma Frost,,3
Aurora,Aurora,,3
Bishop,Bishop,,3
Doctor Octopus,Doctor Octopus,,0
Mystique,Mystique,,3
Tempest,Tempest,,3
Falcon,Falcon,,0
Goblin Queen,Goblin Queen,,3
Blade,Blade,,0
Hulk,Hulk,,0
Corsair,Corsair,,0
Feral,Feral,,3
Dazzler,Dazzler,,3
Firebird,Firebird,,0
Forge,Forge,,3
Beast,Beast,,3
Clea,Clea,,0
Nick Fury,Nick Fury,,0
Lady Deathstrike,Lady Deathstrike,,3
Iron Man,Iron Man,,0
Magneto,Magneto,,3
Winter Soldier,Winter Soldier,,0
Shatterstar,Shatterstar,,3
Jigsaw,Jigsaw,,0
Moon Knight,Moon Knight,,0
Crystal,Crystal,,0
Shriek,Shriek,,0
Namora,Namora,,0
Doctor Strange,Doctor Strange,,0
Chameleon,Chameleon,,0
Shadowcat,Shadowcat,,3
Rogue,Rogue,,3
Dagger,Dagger,,0
Thor,Thor,,0
Red Hulk,Red Hulk,,0
Gravity,Gravity,,0
Darkstar,Darkstar,,0
Rhino,Rhino,,0
Moonstone,Moonstone,,0
Morph,Morph,,3
Stardust,Stardust,,0
Sabretooth,Sabretooth,,3
Lizard,Lizard,,0
Cannonball,Cannonball,,3
Beak,Beak,,3
Jubilee,Jubilee,,3
Elektra,Elektra,,0
Kang,Kang,,0
Sage,Sage,,3
Agent Zero,Agent Zero,,3
Jean Grey,Jean Grey,,3
Black Cat,Black Cat,,0
Cecilia Reyes,Cecilia Reyes,,3
Daredevil,Daredevil,,0
Sunspot,Sunspot,,3
Wonder Man,Wonder Man,,0
Lady Bullseye,Lady Bullseye,,0
Arachne,Arachne,,0
Namor,Namor,,0
Master Chief,Master Chief,,2
Carnage,Carnage,,0
Vindicator,Vindicator,,3
Multiple Man,Multiple Man,,3
Hope Summers,Hope Summers,,3
Nova,Nova,,0
Northstar,Northstar,,3
X-Man,X-Man,,3
Red Skull,Red Skull,,0
Captain Universe,Captain Universe,,0
Toad,Toad,,3
3-D Man,3-D Man,,0
Demogoblin,Demogoblin,,0
Molten Man,Molten Man,,0
Human Torch,Human Torch,,0
Machine Man,Machine Man,,0
Sif,Sif,,0
Mandarin,Mandarin,,0
Cyclops,Cyclops,,3
Storm,Storm,,3
John Wraith,John Wraith,,3
Pyro,Pyro,,3
Black Widow,Black Widow,,0
Boom Boom,Boom Boom,,3
Darkhawk,Darkhawk,,0
Hydro-Man,Hydro-Man,,0
Beyonder,Beyonder,,0
Kingpin,Kingpin,,0
Skaar,Skaar,,0
Bullseye,Bullseye,,0
Shadow King,Shadow King,,3
Sandman,Sandman,,0
Galactus,Galactus,,0
Cloak,Cloak,,0
Callisto,Callisto,,3
Cypher,Cypher,,3
Blackout,Blackout,,0
Shang-Chi,Shang-Chi,,0
Professor X,Professor X,,3
Groot,Groot,,0
Justice,Justice,,0
Loki,Loki,,0
Bloodaxe,Bloodaxe,,0
Morlun,Morlun,,3
Mephisto,Mephisto,,0
Tinkerer,Tinkerer,,0
Onslaught,Onslaught,,3
Fin Fang Foom,Fin Fang Foom,,0
Black Panther,Black Panther,,0
Guardian,Guardian,,0
Songbird,Songbird,,0
Snowbird,Snowbird,,3
Husk,Husk,,3
Captain America,Captain America,,0
Banshee,Banshee,,3
Havok,Havok,,3
Tiger Shark,Tiger Shark,,0
Ego,Ego,,0
Thundra,Thundra,,0
Ink,Ink,,3
Silver Surfer,Silver Surfer,,0
Hercules,Hercules,,0
Mister Sinister,Mister Sinister,,3
X-23,X-23,,3
Deathlok,Deathlok,,0
Hawkeye,Hawkeye,,0
Leader,Leader,,0
Annihilus,Annihilus,,0
Electro,Electro,,0
